,Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country,region,sub-region,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
0,2019,Intentional self-harm,10-14,GBR,Female,14,3854868.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
1,2019,Intentional self-harm,10-14,GBR,Male,18,4052864.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
2,2019,Intentional self-harm,15-19,GBR,Female,128,3555510.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
3,2019,Intentional self-harm,15-19,GBR,Male,264,3758426.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
4,2019,Intentional self-harm,20-24,GBR,Female,190,4036018.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
5,2019,Intentional self-harm,20-24,GBR,Male,664,4270142.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
6,2019,Intentional self-harm,25-29,GBR,Female,240,4444298.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
7,2019,Intentional self-harm,25-29,GBR,Male,770,4584200.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
8,2019,Intentional self-harm,3,GBR,Female,0,780902.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
9,2019,Intentional self-harm,3,GBR,Male,0,823766.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
10,2019,Intentional self-harm,30-34,GBR,Female,210,4509580.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
11,2019,Intentional self-harm,30-34,GBR,Male,840,4484684.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
12,2019,Intentional self-harm,35-39,GBR,Female,250,4443566.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
13,2019,Intentional self-harm,35-39,GBR,Male,800,4347768.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
14,2019,Intentional self-harm,40-44,GBR,Female,212,4045346.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
15,2019,Intentional self-harm,40-44,GBR,Male,804,3993732.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
16,2019,Intentional self-harm,45-49,GBR,Female,282,4459532.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
17,2019,Intentional self-harm,45-49,GBR,Male,980,4344712.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
18,2019,Intentional self-harm,5-9,GBR,Female,0,4048560.0,United Kingdom,Europe,Northern Europe,1.711,1.715,1.11,2.546,7.157,10.766,0.943,70.1,0.854,0.265,0.485,0.739,0.251
